E[1] [eV],Im(eps)_nk_6,Im(eps)_nk_8,Im(eps)_nk_10,Im(eps)_nk_12,Im(eps)_nk_14,Im(eps)_nk_16,Im(eps)_nk_18
14.022560,0.49180100,0.51824300,0.50864700,0.51214900,0.51133900,0.51049900,0.51186900
14.060150,0.48937600,0.51576000,0.50964200,0.51072400,0.50926900,0.50661900,0.51029900
14.097740,0.48577700,0.51602900,0.51122200,0.51037900,0.50716100,0.50263500,0.50698700
14.135340,0.48144900,0.51521500,0.51286400,0.50881300,0.50509600,0.50022800,0.50275900
14.172930,0.47855500,0.50729900,0.51005300,0.50489600,0.50266100,0.49927200,0.49947600
14.210530,0.48074000,0.49733100,0.50041300,0.49864200,0.49811000,0.49861200,0.49752200
14.248120,0.48954400,0.48970500,0.48921500,0.49149200,0.49200000,0.49641200,0.49447700
14.285710,0.50124100,0.48299900,0.47980000,0.48522600,0.48645000,0.49240700,0.48868800
14.323310,0.50750800,0.47615500,0.47290700,0.48051900,0.48263300,0.48740100,0.48247100
14.360900,0.50743900,0.47142300,0.47166200,0.47906700,0.48151100,0.48305600,0.47932200
14.398490,0.50311100,0.47261100,0.47627600,0.48049200,0.48316700,0.48189200,0.48073100
14.436090,0.49550500,0.47990500,0.48410700,0.48175400,0.48549200,0.48272200,0.48488000
14.473680,0.48768200,0.48599800,0.49124000,0.48233000,0.48592200,0.48275300,0.48733500
14.511280,0.47944900,0.48531900,0.49294100,0.48313600,0.48291700,0.48008600,0.48479300
14.548870,0.46958700,0.47998800,0.48696800,0.48148000,0.47693900,0.47461400,0.47819700
14.586460,0.45913700,0.47306500,0.47458100,0.47381700,0.46916400,0.46857300,0.46983700
14.624060,0.44944900,0.46433700,0.46098300,0.46178200,0.46074700,0.46251400,0.46128900
14.661650,0.43979900,0.45267000,0.45043700,0.44934600,0.45226300,0.45492500,0.45326800
14.699250,0.42912000,0.43869100,0.44223400,0.43917200,0.44440300,0.44613900,0.44541500
14.736840,0.42204900,0.42642600,0.43586600,0.43509800,0.43887600,0.43949000,0.43940800
14.774440,0.42197300,0.41916200,0.43228300,0.43754900,0.43671400,0.43661300,0.43656400
14.812030,0.42601900,0.41889300,0.43094600,0.44067000,0.43644100,0.43566700,0.43461500
14.849620,0.43111800,0.42426800,0.42919200,0.43946400,0.43455000,0.43536600,0.43174400
14.887220,0.43272800,0.42904100,0.42452900,0.43373100,0.42990400,0.43342100,0.42771800
14.924810,0.42616500,0.42737000,0.41911800,0.42493200,0.42449900,0.42648200,0.42285100
14.962400,0.41542300,0.41890500,0.41463200,0.41640500,0.41820300,0.41612800,0.41705300
15.000000,0.40848900,0.40952000,0.41095600,0.40995300,0.41091800,0.40710800,0.41117500
15.037590,0.40877300,0.40445500,0.41062300,0.40479700,0.40507600,0.40102400,0.40620700
15.075190,0.41354400,0.40320600,0.41354100,0.40074100,0.40158900,0.39801200,0.40339200
15.112780,0.41975200,0.40491700,0.41465300,0.39865200,0.39970100,0.39816700,0.40217100
